Episode,Score,Best Score,Average Score,Time Steps,Learning Steps,Game-win,Game win rate
100,-236.25358557075617,277.7995575809399,-150.6460918349019,7210,3,0,0.0
101,-183.6493607633197,277.7995575809399,-151.83310291154285,7289,3,0,0.0
102,-183.49251107608546,277.7995575809399,-151.7459065351921,7379,3,0,0.0
103,-20.293400924429363,277.7995575809399,-151.317164595922,7440,3,0,0.0
104,-99.19462337508004,277.7995575809399,-149.44144634207566,7506,3,0,0.0
105,-108.23075060079952,277.7995575809399,-149.14229904329295,7595,3,0,0.0
106,-143.0973196179433,277.7995575809399,-148.04608976708766,7660,3,0,0.0
107,-136.59702897407914,277.7995575809399,-147.688781676579,7710,3,0,0.0
108,-152.05886757193332,277.7995575809399,-148.05756158750256,7741,3,0,0.0
109,-111.05337484342998,277.7995575809399,-147.5734458818297,7803,3,0,0.0
110,-128.0517428500524,277.7995575809399,-147.65069561439773,7875,3,0,0.0
111,-154.24674262158388,277.7995575809399,-148.37286518585844,7959,3,0,0.0
112,-119.2971994878818,277.7995575809399,-148.62146003287054,7997,3,0,0.0
113,-210.884855344503,277.7995575809399,-149.6283702062165,8063,3,0,0.0
114,-243.6106815649471,277.7995575809399,-150.4646682991906,8116,3,0,0.0
115,-197.99175059793242,277.7995575809399,-150.26088737954126,8190,3,0,0.0
116,-217.65680910336658,277.7995575809399,-155.21545104638432,8251,4,0,0.0
117,148.2454825958598,277.7995575809399,-152.34747122679573,8322,4,1,0.02
118,-130.86905273346827,277.7995575809399,-152.01243957711972,8357,4,0,0.02
119,-281.5325788330433,277.7995575809399,-153.3706243908333,8421,4,0,0.01
120,-189.38890651735096,277.7995575809399,-153.48161666676424,8477,4,0,0.0
121,-140.15396464422088,277.7995575809399,-153.95835973436363,8522,4,0,0.0
122,-114.07331376216865,277.7995575809399,-152.9714651920154,8558,4,0,0.0
123,-135.59514119851713,277.7995575809399,-152.7806316249893,8629,4,0,0.0
124,-159.10335917152923,277.7995575809399,-151.80872431094988,8691,4,0,0.0
125,-61.79467739969384,277.7995575809399,-150.35049318239527,8775,4,0,0.0
126,-105.61975230059059,277.7995575809399,-149.87394399833033,8807,4,0,0.0
127,-162.3159776021373,277.7995575809399,-148.56199778302602,8868,4,0,0.0
128,-71.10913618902909,277.7995575809399,-147.7214767894921,8939,4,0,0.0
129,-63.00528105735428,277.7995575809399,-147.32896318470466,9041,4,0,0.0
130,-126.45633178783604,277.7995575809399,-147.56310765324736,9137,4,0,0.0
131,-294.26123651639807,277.7995575809399,-148.8702746455185,9229,4,0,0.0
132,-269.29582269577566,277.7995575809399,-150.50597776755498,9279,4,0,0.0
133,-249.6535049318509,277.7995575809399,-151.00900164670028,9331,4,0,0.0
134,-129.23257497893513,277.7995575809399,-151.27519933420876,9396,4,0,0.0
135,-134.11436018058833,277.7995575809399,-151.44593150071827,9469,4,0,0.0
136,-189.2866561140072,277.7995575809399,-152.36793461329336,9517,4,0,0.0
137,-110.9869689524921,277.7995575809399,-151.80391622797904,9575,4,0,0.0
138,-229.0959765523328,277.7995575809399,-152.62991676611978,9643,4,0,0.0
139,-230.54403095950497,277.7995575809399,-152.94755570724453,9737,4,0,0.0
140,-120.78132989337698,277.7995575809399,-151.10624106019787,9810,4,0,0.0
141,-161.74603172824158,277.7995575809399,-151.46012496508936,9856,4,0,0.0
142,-126.19439278955377,277.7995575809399,-151.03810531080117,9929,4,0,0.0
143,-261.0156243833077,277.7995575809399,-152.06558375526683,10000,4,0,0.0
144,-126.90325935964611,277.7995575809399,-150.69864819415105,10092,4,0,0.0
145,-166.34367907389358,277.7995575809399,-151.44554154202748,10160,4,0,0.0
146,-110.3461124626975,277.7995575809399,-151.80828687166235,10233,4,0,0.0
